"Indicator"|"Country"|"Population"
"Secondary"|"Montserrat"|340
"Secondary"|"Morocco"|3831629
"Secondary"|"Mozambique"|2654216
"Secondary"|"Myanmar"|5681484
"Secondary"|"Namibia"|258668
"Secondary"|"Nauru"|1310
"Secondary"|"Nepal"|4426329
"Secondary"|"Netherlands"|1209246
"Secondary"|"Nl Antilles"|"NA"
"Secondary"|"New Caledonia"|"NA"
"Secondary"|"New Zealand"|430117
"Secondary"|"Nicaragua"|675099
"Secondary"|"Niger"|2217263
"Secondary"|"Nigeria"|20663805
"Secondary"|"Niue"|154
"Secondary"|"Norfolk Island"|"NA"
"Secondary"|"Norway"|384753
"Secondary"|"Oman"|318455
"Secondary"|"Pakistan"|28337888
"Secondary"|"Palau"|2498
"Secondary"|"Palestine"|832033
"Secondary"|"Panama"|403652
"Secondary"|"Papua New Guinea"|884372
"Secondary"|"Paraguay"|827655
"Secondary"|"Peru"|2915750
"Secondary"|"Philippines"|8107037
"Secondary"|"Poland"|2922819
"Secondary"|"Portugal"|656885
"Secondary"|"Puerto Rico"|350721
"Secondary"|"Qatar"|66089
"Secondary"|"Republic of Korea"|4068091
"Secondary"|"Republic of Moldova"|349642
"Secondary"|"Réunion"|"NA"
"Secondary"|"Romania"|1919494
"Secondary"|"Russian Federation"|10613557
"Secondary"|"Rwanda"|1411872
"Secondary"|"Saint Helena"|"NA"
"Secondary"|"Saint Kitts and Nevis"|4419
"Secondary"|"Saint Lucia"|16823
"Secondary"|"Saint Pierre and Miquelon"|"NA"
"Secondary"|"Saint Vincent and the Grenadines"|10625
"Secondary"|"Samoa"|29658
"Secondary"|"San Marino"|2401
"Secondary"|"Sao Tome and Principe"|19386
"Secondary"|"Saudi Arabia"|2857936
"Secondary"|"Senegal"|1991690
"Secondary"|"Serbia"|646227
"Secondary"|"Seychelles"|10097
"Secondary"|"Sierra Leone"|751870
"Secondary"|"Singapore"|"NA"
"Secondary"|"Sint Maarten (Dutch part)"|"NA"
"Secondary"|"Slovakia"|592569
"Secondary"|"Slovenia"|141524
"Secondary"|"Solomon Islands"|81645
"Secondary"|"Somalia"|1318197
"Secondary"|"South Africa"|4916044
"Secondary"|"South Sudan"|1138901
"Secondary"|"Spain"|2555553
"Secondary"|"Sri Lanka"|2596905
"Secondary"|"Sudan"|4045628
"Secondary"|"Sudan (pre-secession)"|"NA"
"Secondary"|"Suriname"|63719
"Secondary"|"Swaziland"|152861
"Secondary"|"Sweden"|745278
"Secondary"|"Switzerland"|631735
"Secondary"|"Syrian Arab Republic"|3769863
"Secondary"|"Tajikistan"|1222398
"Secondary"|"Thailand"|5758460
"Secondary"|"The former Yugoslav Republic of Macedonia"|240493
"Secondary"|"Timor-Leste"|185516
"Secondary"|"Togo"|976073
"Secondary"|"Tokelau"|147
"Secondary"|"Tonga"|14216
"Secondary"|"Trinidad and Tobago"|93908
"Secondary"|"Tunisia"|1307586
"Secondary"|"Turkey"|8919586
"Secondary"|"Turkmenistan"|711081
"Secondary"|"Turks and Caicos Islands"|2538
"Secondary"|"Tuvalu"|1436
"Secondary"|"Uganda"|4788310
"Secondary"|"Ukraine"|3284349
"Secondary"|"United Arab Emirates"|241108
"Secondary"|"United Kingdom of Great Britain and Northern Ireland"|5213022
"Secondary"|"United Republic of Tanzania"|5770084
"Secondary"|"United States of America"|25961379
"Secondary"|"United States Virgin Islands"|"NA"
"Secondary"|"Uruguay"|318125
"Secondary"|"Uzbekistan"|4256147
"Secondary"|"Vanuatu"|34025
"Secondary"|"Venezuela (Bolivarian Republic of)"|2740702
"Secondary"|"Viet Nam"|11479414
"Secondary"|"Western Sahara"|"NA"
"Secondary"|"Yemen"|3524127
"Secondary"|"Zambia"|1463565
"Secondary"|"Zimbabwe"|1968859
