"State Code"|"State Name"|"District Code"|"District Name"|"TRU"|"Water-in-premises"|"Water.out.premises"|"Unimproved.sanitation"|"Unsafe.drainage"
"06"|"HARYANA"|"075"|"Panipat"|"Rural"|54.4|45.6|34.6|94.4
"06"|"HARYANA"|"075"|"Panipat"|"Urban"|81.9|18.1|12.1|65.9
"06"|"HARYANA"|"076"|"Sonipat"|"Total"|63.5|36.5|32.9|78.7
"06"|"HARYANA"|"076"|"Sonipat"|"Rural"|51.8|48.2|44.6|95.9
"06"|"HARYANA"|"076"|"Sonipat"|"Urban"|87.1|12.9|9.5|44.1
"06"|"HARYANA"|"077"|"Jind"|"Total"|49|51|41.2|86.4
"06"|"HARYANA"|"077"|"Jind"|"Rural"|38.6|61.4|49.5|96.8
"06"|"HARYANA"|"077"|"Jind"|"Urban"|82.6|17.4|13.5|52.4
"06"|"HARYANA"|"078"|"Fatehabad"|"Total"|69.8|30.2|38.8|85.9
"06"|"HARYANA"|"078"|"Fatehabad"|"Rural"|65.1|34.9|45.7|95.7
"06"|"HARYANA"|"078"|"Fatehabad"|"Urban"|88.8|11.2|11.4|46.1
"06"|"HARYANA"|"079"|"Sirsa"|"Total"|81.8|18.2|35.8|77.6
"06"|"HARYANA"|"079"|"Sirsa"|"Rural"|78.7|21.3|45.2|95.1
"06"|"HARYANA"|"079"|"Sirsa"|"Urban"|91|9|8.8|26.7
"06"|"HARYANA"|"080"|"Hisar"|"Total"|59.9|40.1|33.9|78
"06"|"HARYANA"|"080"|"Hisar"|"Rural"|50.2|49.8|44.2|96.2
"06"|"HARYANA"|"080"|"Hisar"|"Urban"|80.4|19.6|11.9|39.2
"06"|"HARYANA"|"081"|"Bhiwani"|"Total"|53.2|46.8|43.8|88.1
"06"|"HARYANA"|"081"|"Bhiwani"|"Rural"|46.1|53.9|51.5|96.3
"06"|"HARYANA"|"081"|"Bhiwani"|"Urban"|81.1|18.9|13.9|56
"06"|"HARYANA"|"082"|"Rohtak"|"Total"|67.4|32.6|27.8|70.3
"06"|"HARYANA"|"082"|"Rohtak"|"Rural"|50.3|49.7|42.4|96.9
"06"|"HARYANA"|"082"|"Rohtak"|"Urban"|90|10|8.4|35
"06"|"HARYANA"|"083"|"Jhajjar"|"Total"|62.2|37.8|33.2|87.5
"06"|"HARYANA"|"083"|"Jhajjar"|"Rural"|54.9|45.1|42.1|95.7
"06"|"HARYANA"|"083"|"Jhajjar"|"Urban"|82.2|17.8|9|65
"06"|"HARYANA"|"084"|"Mahendragarh"|"Total"|47.7|52.3|56.2|94.1
"06"|"HARYANA"|"084"|"Mahendragarh"|"Rural"|43.9|56.1|61.4|96.7
"06"|"HARYANA"|"084"|"Mahendragarh"|"Urban"|71.1|28.9|23.7|78
"06"|"HARYANA"|"085"|"Rewari"|"Total"|67.8|32.2|41.1|87.6
"06"|"HARYANA"|"085"|"Rewari"|"Rural"|61.2|38.8|50.7|96.1
"06"|"HARYANA"|"085"|"Rewari"|"Urban"|87.2|12.8|12.9|62.6
"06"|"HARYANA"|"086"|"Gurgaon"|"Total"|80.2|19.8|16.3|45.8
"06"|"HARYANA"|"086"|"Gurgaon"|"Rural"|64.3|35.7|35.3|91.7
"06"|"HARYANA"|"086"|"Gurgaon"|"Urban"|86.3|13.7|9.1|28.6
"06"|"HARYANA"|"087"|"Mewat "|"Total"|23.4|76.6|77.7|97.7
"06"|"HARYANA"|"087"|"Mewat "|"Rural"|17.3|82.7|83.4|98.7
"06"|"HARYANA"|"087"|"Mewat "|"Urban"|66.2|33.8|39|90.9
"06"|"HARYANA"|"088"|"Faridabad"|"Total"|71.9|28.1|19.1|62.5
"06"|"HARYANA"|"088"|"Faridabad"|"Rural"|63.6|36.4|44.2|94.8
"06"|"HARYANA"|"088"|"Faridabad"|"Urban"|73.6|26.4|13.9|55.8
"06"|"HARYANA"|"089"|"Palwal "|"Total"|56.9|43.1|57.1|93.6
"06"|"HARYANA"|"089"|"Palwal "|"Rural"|47.4|52.6|68.8|97.5
"06"|"HARYANA"|"089"|"Palwal "|"Urban"|86.7|13.3|20.2|81.6
"07"|"NCT OF DELHI"|"090"|"North West"|"Total"|70.8|29.2|16.1|45.2
"07"|"NCT OF DELHI"|"090"|"North West"|"Rural"|58.1|41.9|37.5|88.7
"07"|"NCT OF DELHI"|"090"|"North West"|"Urban"|71.6|28.4|14.7|42.6
"07"|"NCT OF DELHI"|"091"|"North"|"Total"|74.7|25.3|10.4|32.9
"07"|"NCT OF DELHI"|"091"|"North"|"Rural"|61.1|38.9|1.9|92
"07"|"NCT OF DELHI"|"091"|"North"|"Urban"|74.9|25.1|10.4|31.8
"07"|"NCT OF DELHI"|"092"|"North East"|"Total"|76.8|23.2|16.1|74
"07"|"NCT OF DELHI"|"092"|"North East"|"Rural"|82|18|8.4|92.4
"07"|"NCT OF DELHI"|"092"|"North East"|"Urban"|76.7|23.3|16.1|73.9
